code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
SAIB,Societe Arabe Internationale De Banque S.A.E,2.53,20,10,6,18,6,7,5,72,4.0,81.0,Strong,Enter w/ confidence,72,19.9,19.9,17.7,50.0,2,,nan,nan,nan
MOIL,Maridive & oil services,0.68,17,12,9,14,6,6,5,69,1.0,71.0,Strong,Enter w/ confidence,63,3.0,0.0,4.6,65.3,0,,nan,nan,nan
CCAP,QALA For Financial Investments,5.78,18,10,11,12,6,8,5,70,-2.0,69.0,Moderate,Enter w/ caution,66,8.9,10.1,7.2,68.4,2,,nan,nan,nan
HBCO,Heibco for commercial investments & real estate development,14.41,18,9,8,15,4,9,5,68,2.0,68.0,Moderate,Enter w/ caution,67,15.7,22.0,19.5,74.5,2,,nan,nan,nan
ICFC,International Company For Fertilizers & Chemicals,20.49,19,8,5,18,6,8,5,69,-4.0,66.0,Moderate,Enter w/ caution,62,17.8,24.6,19.0,79.3,2,,nan,nan,nan
CFGH,Concrete Fashion Group For Commercial& Industrial Investment,0.12,17,8,6,12,6,7,5,61,-1.0,63.0,Moderate,Enter w/ caution,59,9.1,20.0,12.8,78.4,2,,nan,nan,nan
CLHO,Cleopatra Hospital Company,17.71,13,13,6,10,8,7,5,62,2.0,62.0,Moderate,Enter w/ caution,63,2.5,-1.8,2.2,58.2,1,,nan,nan,nan
MPCO,Mansourah Poultry,2.34,19,10,3,15,6,11,5,69,-5.0,62.0,Moderate,Enter w/ caution,64,7.3,10.9,10.8,69.7,2,,nan,nan,nan
EMFD,Emaar Misr for Development,12.06,17,12,5,7,6,4,5,56,2.0,61.0,Moderate,Enter w/ caution,62,3.4,2.2,2.8,60.0,0,,nan,nan,nan
FAIT,Faisal Islamic Bank of Egypt - In EGP,43.0,17,8,3,17,7,11,5,68,-5.0,61.0,Moderate,Enter w/ caution,71,3.6,9.1,7.6,67.2,1,,nan,nan,nan
MPCI,Memphis Pharmaceuticals,418.61,16,9,2,16,6,4,5,58,2.0,61.0,Moderate,Enter w/ caution,62,11.6,27.6,19.7,76.4,2,,nan,nan,nan
ARAB,Arab Developers Holding,0.24,14,13,7,7,6,2,3,52,2.0,60.0,Moderate,Enter w/ caution,50,0.0,-4.0,-0.1,50.9,0,,nan,nan,nan
PRDC,Pioneers Properties For Urban Development - (PRE Group),9.69,16,12,6,8,6,3,5,56,3.0,60.0,Moderate,Enter w/ caution,58,10.1,5.1,6.7,61.5,1,,nan,nan,nan
CPCI,Cairo Pharmaceuticals,551.38,14,12,3,10,9,4,5,57,1.0,58.0,Moderate,Enter w/ caution,53,3.1,13.5,7.7,68.4,2,,nan,nan,nan
ETRS,Egyptian Transport & Commercial Services Co. -EGYTRANS NOSCO,11.11,17,15,4,16,7,0,4,63,-3.0,58.0,Moderate,Enter w/ caution,58,-1.2,3.8,1.9,58.2,0,,nan,nan,nan
FWRY,Fawry For Banking Technology And Electronic Payment,19.2,11,12,9,7,5,3,4,51,2.0,58.0,Moderate,🔥 COILED: Enter w/ caution,52,-0.6,-0.9,0.5,51.9,0,,nan,nan,nan
ORAS,Orascom Construction PLC,782.25,17,12,6,15,4,0,5,59,1.0,58.0,Moderate,Enter w/ caution,62,-1.6,8.8,5.7,64.2,1,,nan,nan,nan
UNIT,United Housing & Development,19.21,13,12,3,7,9,4,5,53,4.0,58.0,Moderate,Enter w/ caution,51,-2.3,7.2,2.4,56.3,0,,nan,nan,nan
CERA,The Arab Ceramic CO.- Ceramica Remas,1.32,10,13,6,8,8,2,3,50,4.0,57.0,Moderate,Enter w/ caution,46,-0.8,-2.2,1.0,53.0,0,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,15.98,18,13,4,15,7,2,5,64,-5.0,57.0,Moderate,Enter w/ caution,0,-0.7,1.1,4.8,61.7,0,,nan,nan,nan
LCSW,Lecico Egypt,34.66,15,12,2,10,7,3,3,52,2.0,57.0,Moderate,Enter w/ caution,65,3.8,-2.1,2.1,54.8,0,,nan,nan,nan
SAUD,Al Baraka Bank Egypt,24.35,18,4,6,16,7,4,5,60,-3.0,57.0,Moderate,Enter w/ caution,71,4.5,8.8,5.3,71.2,1,,nan,nan,nan
SUGR,Delta Sugar,52.23,16,10,3,11,6,7,5,58,-2.0,57.0,Moderate,Enter w/ caution,69,3.0,8.3,5.6,69.7,1,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,8.2,18,10,6,16,6,12,5,73,-16.0,57.0,Moderate,Enter w/ caution,68,8.5,10.1,8.5,70.6,2,,nan,nan,nan
ACGC,Arab Cotton Ginning,13.69,17,5,2,16,7,7,5,59,-3.0,56.0,Moderate,Enter w/ caution,65,3.6,18.9,11.5,72.0,2,,nan,nan,nan
AMIA,Arab Moltaka Investments Co.,18.81,19,9,4,18,6,12,5,73,-18.5,55.5,Moderate,Enter w/ caution,73,48.1,42.8,37.0,88.0,2,,nan,nan,nan
EFID,Edita Food Industries S.A.E,33.2,18,7,4,15,6,4,5,59,-2.0,55.0,Moderate,Enter w/ caution,58,-4.9,4.4,6.0,65.5,0,,nan,nan,nan
EGBE,Egyptian Gulf Bank,0.55,14,9,3,12,7,4,5,54,1.0,55.0,Moderate,Enter w/ caution,65,1.9,-5.2,5.1,61.8,0,,nan,nan,nan
NIPH,El-Nile Co. For Pharmaceuticals And Chemical Industries,396.52,14,13,3,16,8,4,5,63,-9.0,55.0,Moderate,Enter w/ caution,57,3.0,10.5,19.5,64.5,2,,nan,nan,nan
UTOP,UTOPIA,123.06,13,11,3,15,6,0,5,53,2.0,55.0,Moderate,Enter w/ caution,0,-0.3,-14.4,8.5,59.2,0,,nan,nan,nan
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,5.48,14,12,2,10,6,4,5,53,0.0,54.0,Weak,Watchlist only,65,0.6,1.9,1.7,54.8,0,,nan,nan,nan
MIPH,Minapharm Pharmaceuticals,794.08,14,12,5,14,7,0,5,57,-1.0,54.0,Weak,Watchlist only,53,1.6,-0.3,2.8,58.8,0,,nan,nan,nan
SPMD,Speed Medical,0.47,14,10,4,8,6,4,5,51,2.0,54.0,Weak,Watchlist only,57,-4.1,-2.1,0.2,52.6,0,,nan,nan,nan
BINV,B Investments Holding,48.09,7,4,8,13,7,5,4,48,2.0,53.0,Weak,Watchlist only,53,-0.6,-2.0,-0.7,48.3,0,,nan,nan,nan
COSG,Cairo Oils & Soap,1.87,18,12,4,11,7,4,5,61,-9.0,53.0,Weak,Watchlist only,67,0.5,10.0,6.4,67.2,2,,nan,nan,nan
MFPC,Misr Fretilizers Production Company - Mopco,39.3,15,14,7,11,3,2,5,57,-3.0,52.0,Weak,Watchlist only,36,-3.7,5.7,2.2,57.8,0,,nan,nan,nan
ATQA,Misr National Steel - Ataqa,10.98,17,8,5,14,7,0,5,56,-5.0,51.0,Weak,Watchlist only,66,-0.2,8.4,3.7,65.7,1,,nan,nan,nan
