code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
EBSC,Osool ESB Securities Brokerage,2.1,20,9,7,13,6,8,5,68,-1.0,72.0,Strong,Enter w/ confidence,68,15.4,10.5,14.3,70.4,2,,nan,nan,nan
EEII,El Arabia Engineering Industries,2.49,18,14,10,10,9,7,5,73,-8.0,69.0,Moderate,Enter w/ caution,64,3.8,2.9,3.3,59.1,0,,nan,nan,nan
OCDI,Six of October Development & Investment (SODIC),25.32,18,9,5,16,6,7,5,66,3.0,69.0,Moderate,Enter w/ caution,57,4.5,22.3,10.1,68.8,2,,nan,nan,nan
PRCL,Ceramic & Porcelain,32.9,18,11,5,16,6,7,5,68,0.0,68.0,Moderate,Enter w/ caution,69,11.1,34.3,17.8,73.6,2,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,13.11,11,14,7,13,8,6,3,62,2.0,67.0,Moderate,Enter w/ caution,0,1.1,3.2,2.6,54.8,0,,nan,nan,nan
RUBX,Rubex International for Plastic and Acrylic Manufacturing,12.38,20,12,3,11,6,7,5,64,-3.0,66.0,Moderate,Enter w/ caution,66,19.8,24.3,15.4,70.7,2,,nan,nan,nan
SEIG,Saudi Egyptian Investment & Finance,190.54,15,14,9,8,6,6,2,60,2.0,65.0,Moderate,Enter w/ caution,60,2.9,3.9,3.0,59.7,0,,nan,nan,nan
TANM,Tanmiya for Real Estate Investment,5.25,14,16,7,15,8,7,5,72,-8.0,65.0,Moderate,Enter w/ caution,62,2.7,7.8,3.9,58.5,0,,nan,nan,nan
OCPH,October Pharma,356.52,13,16,5,8,7,6,3,58,2.0,64.0,Moderate,Enter w/ caution,58,4.2,3.6,2.0,57.2,0,,nan,nan,nan
GMCI,GMC GROUP FOR INDUSTRIAL COMMERCIAL & FINANCIAL INVESTMENTS,1.86,17,11,7,18,4,5,5,67,-5.0,63.0,Moderate,Enter w/ caution,69,8.8,3.9,5.6,66.1,0,,nan,nan,nan
OLFI,Obour Land For Food Industries,22.29,15,8,9,12,5,5,4,58,2.0,63.0,Moderate,Enter w/ caution,54,2.2,1.3,1.3,55.7,0,,nan,nan,nan
DTPP,Delta For Printing & Packaging,199.26,21,8,6,18,6,6,5,70,-13,62,Moderate,Enter w/ caution,75,69.9,71.3,49.6,88.5,2,10,nan,nan,nan
RAYA,Raya Holding For Financial Investments,7.7,16,12,5,14,7,5,4,63,1.0,62.0,Moderate,Enter w/ caution,57,4.1,9.8,5.2,60.1,1,,nan,nan,nan
SCTS,Sues Canal Company For Technology Settling,626.62,16,16,4,7,9,2,3,57,2.0,62.0,Moderate,Enter w/ caution,52,6.1,4.3,4.7,58.3,1,,nan,nan,nan
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,5.27,14,8,3,15,7,7,5,59,2.0,61.0,Moderate,Enter w/ caution,53,3.3,2.1,3.3,56.7,0,,nan,nan,nan
PHAR,Egyptian International Pharmaceuticals (EIPICO),88.21,14,14,4,15,7,3,4,61,2.0,61.0,Moderate,Enter w/ caution,60,-0.3,5.0,1.7,55.3,0,,nan,nan,nan
VALU,U Consumer Finance,12.01,15,7,7,14,7,4,3,57,-2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,64,-1.5,0.8,1.1,52.1,1,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,6.5,18,12,1,9,7,6,5,58,2.0,60.0,Moderate,Enter w/ caution,68,-0.9,5.3,3.4,59.4,0,,nan,nan,nan
SVCE,South Valley Cement,9.61,14,11,8,9,6,2,3,53,4.0,58.0,Moderate,Enter w/ caution,56,2.0,6.5,6.2,59.9,1,,nan,nan,nan
SDTI,Sharm Dreams Co. for Tourism Investment,46.44,14,13,8,11,9,2,5,62,-6.0,57.0,Moderate,Enter w/ caution,49,-0.6,-1.1,0.3,53.4,0,,nan,nan,nan
CPCI,Cairo Pharmaceuticals,404.91,18,10,4,12,7,5,5,61,-6.0,56.0,Moderate,Enter w/ caution,66,7.8,11.7,9.0,79.1,2,,nan,nan,nan
GBCO,GB Corp.,28.4,18,14,5,7,7,3,3,57,1.0,56.0,Moderate,Enter w/ caution,49,10.5,6.8,4.9,60.2,1,,nan,nan,nan
IEEC,Industrial & Engineering Projects,0.46,15,14,9,6,6,11,5,66,-11.0,56.0,Moderate,Enter w/ caution,59,2.2,2.2,1.9,57.7,1,,nan,nan,nan
