code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
SCEM,Sinai Cement,67.33,19,14,8,18,8,5,5,77,0.0,82.0,Strong,Enter w/ confidence,66,7.5,6.0,6.6,64.9,1,,nan,nan,nan
PHAR,Egyptian International Pharmaceuticals (EIPICO),88.97,18,14,7,15,5,6,5,70,2.0,76.0,Strong,Enter w/ confidence,62,3.3,0.9,2.2,58.2,0,,nan,nan,nan
ALRA,Atlas For Investment and Food Industries,2.24,16,9,10,17,6,10,5,73,-1.0,73.0,Strong,Enter w/ confidence,60,7.7,10.9,8.9,71.8,2,,nan,nan,nan
FAIT,Faisal Islamic Bank of Egypt - In EGP,37.46,16,10,5,17,6,7,4,65,4.0,73.0,Strong,Enter w/ confidence,66,1.2,1.3,1.8,57.7,0,,nan,nan,nan
SWDY,ELSWEDY ELECTRIC,91.41,19,12,7,14,7,9,5,73,0.0,73.0,Strong,Enter w/ confidence,74,2.7,4.5,3.5,64.7,0,,nan,nan,nan
BTFH,Beltone Holding,3.09,12,16,10,9,8,4,5,64,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,57,1.0,4.0,1.4,54.9,0,,nan,nan,nan
CRST,Creast Mark For Contracting And Real Estate Development,1.62,18,10,5,17,6,11,5,72,-1.0,71.0,Strong,Enter w/ confidence,69,11.7,24.6,14.8,71.7,2,,nan,nan,nan
OIH,Orascom Investment Holding SAE,1.42,10,8,11,15,9,7,4,64,4.0,71.0,Strong,Enter w/ confidence,51,0.7,0.7,0.2,50.4,0,,nan,nan,nan
CSAG,Canal Shipping Agencies,34.0,18,10,10,11,6,8,5,68,-1.0,70.0,Strong,Enter w/ confidence,63,4.8,4.4,5.1,70.7,0,,nan,nan,nan
KRDI,Al Khair River For Development Agricultural Investment&Envir,0.37,16,14,8,12,6,7,5,68,-3.0,70.0,Strong,Enter w/ confidence,29,5.7,8.8,5.0,63.4,1,,nan,nan,nan
ORWE,Oriental Weavers,23.3,14,14,5,10,8,7,4,62,2.0,70.0,Strong,Enter w/ confidence,66,2.1,4.3,2.0,57.0,0,,nan,nan,nan
SIPC,Sabaa International Company for Pharmaceutical and Chemical,3.8,18,10,8,14,6,6,5,67,-2.0,70.0,Strong,Enter w/ confidence,69,8.9,12.4,8.2,68.1,2,,nan,nan,nan
DSCW,Dice Sport & Casual Wear,1.93,17,10,8,18,4,2,5,64,0.0,69.0,Moderate,Enter w/ caution,49,8.4,11.6,6.5,69.0,2,,nan,nan,nan
EXPA,Export Development Bank of Egypt,19.5,19,12,8,10,9,6,5,69,-2.0,68.0,Moderate,Enter w/ caution,66,4.8,6.2,4.2,67.1,0,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,7.5,18,9,5,17,6,10,5,70,-3.0,68.0,Moderate,Enter w/ caution,69,9.5,15.4,10.5,72.5,2,,nan,nan,nan
AGIG,Arab Moltaka Investments Co,9.57,18,12,9,17,6,7,5,74,-12.0,67.0,Moderate,Enter w/ caution,58,7.5,9.7,7.1,65.6,1,,nan,nan,nan
HELI,Heliopolis Housing,7.78,18,6,8,15,7,7,5,66,0.0,67.0,Moderate,Enter w/ caution,62,6.1,21.0,11.2,74.9,2,,nan,nan,nan
ADIB,Abu Dhabi Islamic Bank- Egypt,46.9,12,14,9,12,8,3,3,61,2.0,66.0,Moderate,🔥 COILED: Enter w/ caution,47,-0.9,0.6,0.6,52.0,0,,nan,nan,nan
EPPK,El Ahram Co. For Printing And Packing,15.23,19,9,6,15,6,11,5,71,-3.0,66.0,Moderate,Enter w/ caution,66,7.9,7.3,9.4,70.1,0,,nan,nan,nan
NINH,Nozha International Hospital,21.56,19,10,7,15,8,2,5,66,-6.0,65.0,Moderate,Enter w/ caution,62,23.6,19.4,17.7,76.1,2,,nan,nan,nan
OFH,O B Financial Holding,0.7,17,7,6,18,6,7,5,66,-6.0,65.0,Moderate,Enter w/ caution,68,9.4,16.7,10.7,76.3,2,,nan,nan,nan
QNBA,Qatar National Bank,54.81,16,14,7,9,8,6,4,64,0.0,65.0,Moderate,Enter w/ caution,59,1.4,4.2,2.1,58.8,0,,nan,nan,nan
ACGC,Arab Cotton Ginning,10.12,18,12,5,10,6,7,5,63,3.0,64.0,Moderate,Enter w/ caution,56,6.5,9.6,4.9,64.0,1,,nan,nan,nan
TMGH,T M G Holding,101.15,16,12,5,14,7,6,5,65,-2.0,64.0,Moderate,Enter w/ caution,61,4.2,7.1,4.0,65.0,0,,nan,nan,nan
MOIL,Maridive & oil services,0.55,18,9,6,17,6,7,5,68,-5.0,63.0,Moderate,Enter w/ caution,71,5.8,14.6,7.9,70.4,2,,nan,nan,nan
ASPI,Aspire Capital Holding For Financial Investments,0.35,19,15,5,16,8,3,5,71,-12.0,62.0,Moderate,Enter w/ caution,62,9.4,9.4,9.3,65.3,1,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,14.35,17,9,5,15,7,4,5,62,0.0,62.0,Moderate,Enter w/ caution,0,-1.8,9.5,4.4,59.4,1,,nan,nan,nan
MASR,Madinet Masr For Housing and Development,8.36,18,3,6,15,7,10,5,64,-2.0,62.0,Moderate,Enter w/ caution,64,8.2,12.7,8.9,72.2,2,,nan,nan,nan
MILS,North Cairo Mills,138.05,18,13,7,10,5,3,3,59,2.0,62.0,Moderate,Enter w/ caution,62,3.0,6.5,2.6,56.7,0,,nan,nan,nan
ORMT,Orascom Investment Holding,1.42,11,6,10,11,4,8,5,55,4.0,62.0,Moderate,Enter w/ caution,57,0.0,0.7,0.4,51.4,0,,nan,nan,nan
VLMRA,Valmore Holding-EGP,29.85,13,7,8,14,4,6,5,57,2.0,62.0,Moderate,Enter w/ caution,51,1.9,3.7,2.3,55.4,0,,nan,nan,nan
AMIA,Arab Moltaka Investments Co.,9.57,16,13,9,12,6,7,5,68,-12.0,61.0,Moderate,Enter w/ caution,60,7.2,12.9,7.5,65.1,2,,nan,nan,nan
MBEG,M.B Engineering,4.29,18,9,5,12,5,5,5,59,1.0,61.0,Moderate,Enter w/ caution,69,12.0,13.8,8.1,69.1,2,,nan,nan,nan
AFMC,Alexandria Flour Mills,75.88,17,7,5,15,7,6,5,62,-2.0,60.0,Moderate,Enter w/ caution,71,3.9,9.3,4.5,61.5,1,,nan,nan,nan
CLHO,Cleopatra Hospital Company,16.75,14,14,6,10,6,3,5,58,1.0,60.0,Moderate,Enter w/ caution,62,2.3,2.8,3.3,60.2,0,,nan,nan,nan
MEPA,Medical Packaging Company,1.77,19,10,7,13,4,3,4,60,-3.0,60.0,Moderate,Enter w/ caution,62,6.6,9.3,6.3,66.0,1,,nan,nan,nan
NAPR,National Printing,28.06,19,13,3,12,8,7,5,67,-12.0,60.0,Moderate,Enter w/ caution,55,6.9,6.6,6.9,67.6,0,,nan,nan,nan
SMFR,Samad Misr -EGYFERT,235.34,20,8,3,14,7,2,5,59,-2.0,60.0,Moderate,Enter w/ caution,61,15.7,20.9,11.6,68.4,2,,nan,nan,nan
