code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
MPRC,Egyptian Media Production City,36.5,19,8,6,18,6,10,5,72,1.0,78.0,Strong,Enter w/ confidence,76,14.1,8.2,11.0,72.9,1,,nan,nan,nan
POUL,Cairo Poultry,39.5,19,14,7,16,6,8,5,75,-10.0,68.0,Moderate,Enter w/ caution,62,7.9,7.1,7.8,63.7,0,,nan,nan,nan
VALU,U Consumer Finance,12.0,14,9,7,16,7,3,5,61,2.0,68.0,Moderate,🔥 COILED: Enter w/ caution,60,3.1,7.5,1.5,52.8,1,,nan,nan,nan
BIOC,Glaxo Smith Kline,73.19,17,12,8,7,8,3,4,59,2.0,65.0,Moderate,Enter w/ caution,58,3.3,-0.5,1.6,55.3,0,,nan,nan,nan
OCDI,Six of October Development & Investment (SODIC),22.8,16,9,6,18,7,3,5,64,-2.0,65.0,Moderate,Enter w/ caution,53,10.4,9.7,5.9,61.6,2,,nan,nan,nan
QNBA,Qatar National Bank,54.96,16,12,8,10,6,7,3,62,-1.0,65.0,Moderate,Enter w/ caution,60,2.7,2.6,2.8,59.3,1,,nan,nan,nan
CNFN,Contact Financial Holding,5.14,17,9,6,17,6,12,5,72,-13.0,64.0,Moderate,Enter w/ caution,68,16.3,11.7,11.6,70.0,2,,nan,nan,nan
MBEG,M.B Engineering,3.97,17,14,7,9,4,7,3,61,2.0,63.0,Moderate,Enter w/ caution,53,6.4,3.9,4.2,58.4,0,,nan,nan,nan
MOIL,Maridive & oil services,0.49,15,8,13,16,6,7,5,70,-7.0,63.0,Moderate,Enter w/ caution,69,4.3,2.1,3.6,64.4,0,,nan,nan,nan
ETEL,Telecom Egypt,95.36,12,14,5,13,7,3,3,57,2.0,62.0,Moderate,Enter w/ caution,56,2.5,1.4,1.3,54.6,1,,nan,nan,nan
GIHD,Gharbia Islamic Housing Development,44.16,19,10,9,12,6,8,5,69,-12.0,62.0,Moderate,Enter w/ caution,61,6.8,6.2,6.4,65.3,0,,nan,nan,nan
DOMT,Arabian Food Industries DOMTY,27.41,19,8,5,12,6,7,5,62,-6.0,61.0,Moderate,Enter w/ caution,74,12.6,12.0,8.2,73.4,2,,nan,nan,nan
MFSC,Misr Duty Free Shops,50.63,16,12,3,10,8,3,2,54,1.0,60.0,Moderate,Enter w/ caution,62,11.2,6.6,9.2,63.2,1,,nan,nan,nan
RACC,Raya Customer Experience,9.93,16,6,7,9,7,2,4,51,4.0,60.0,Moderate,🔥 COILED: Enter w/ caution,63,2.6,0.9,0.9,53.9,1,,nan,nan,nan
CIEB,Credit Agricole Egypt,24.37,13,8,8,12,7,8,4,60,-1.0,59.0,Moderate,Enter w/ caution,48,3.8,3.5,2.1,59.1,0,,nan,nan,nan
MPCI,Memphis Pharmaceuticals,247.25,18,10,4,15,6,12,5,70,-13.0,58.0,Moderate,Enter w/ caution,68,12.9,8.9,12.1,71.4,1,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,12.88,17,6,9,13,7,1,3,56,-4.0,57.0,Moderate,🔥 COILED: Enter w/ caution,0,0.7,0.7,0.5,51.4,0,,nan,nan,nan
TANM,Tanmiya for Real Estate Investment,5.09,17,5,6,13,3,5,5,54,0.0,57.0,Moderate,Enter w/ caution,50,4.3,1.2,1.3,53.2,0,,nan,nan,nan
AXPH,Alexandria Pharmaceuticals,1125.93,16,13,3,7,7,4,3,53,2.0,56.0,Moderate,Enter w/ caution,59,0.4,-1.4,1.6,59.4,1,,nan,nan,nan
GBCO,GB Corp.,28.4,18,14,5,7,7,3,3,57,1.0,56.0,Moderate,Enter w/ caution,49,10.5,6.8,4.9,60.2,1,,nan,nan,nan
OLFI,Obour Land For Food Industries,22.02,14,5,7,12,5,3,5,51,0.0,56.0,Moderate,🔥 COILED: Enter w/ caution,42,-1.6,1.3,0.2,51.5,0,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,6.46,18,12,3,10,6,11,5,65,-9.0,56.0,Moderate,Enter w/ caution,70,4.7,3.2,4.7,63.7,0,,nan,nan,nan
ALRA,Atlas For Investment and Food Industries,2.0,16,7,5,14,5,8,5,60,-5.0,55.0,Moderate,Enter w/ caution,42,2.6,9.3,5.0,61.8,1,,nan,nan,nan
CPCI,Cairo Pharmaceuticals,373.12,17,8,6,14,6,11,5,67,-10.0,55.0,Moderate,Enter w/ caution,56,3.0,2.3,4.0,70.8,0,,nan,nan,nan
IDRE,Ismailia Development and Real Estate Co,44.91,13,11,5,8,7,5,4,53,2.0,55.0,Moderate,Enter w/ caution,64,4.4,3.1,2.7,57.9,0,,nan,nan,nan
LCSW,Lecico Egypt,27.8,17,10,6,9,5,3,4,54,0.0,55.0,Moderate,Enter w/ caution,58,4.5,3.1,1.9,56.5,0,,nan,nan,nan
MATD,Marsa Marsa Alam For Tourism Development,3.53,17,5,5,14,6,0,5,52,0.0,55.0,Moderate,Enter w/ caution,52,0.0,4.7,1.7,50.0,0,,nan,nan,nan
MICH,Misr Chemical Industries,38.49,16,10,2,11,5,5,5,54,0.0,55.0,Moderate,Enter w/ caution,66,4.0,4.1,3.6,62.8,0,,nan,nan,nan
ROTO,Rowad Tourism (Al Rowad),42.66,18,8,3,13,7,3,5,57,-3.0,55.0,Moderate,Enter w/ caution,54,23.8,25.9,16.4,73.2,2,,nan,nan,nan
ENGC,Engineering Industries (ICON),36.8,17,8,4,13,5,4,5,56,-2.0,54.0,Weak,Watchlist only,61,2.4,7.4,4.7,63.5,0,,nan,nan,nan
ISPH,Ibnsina Pharma,12.3,17,3,2,15,5,7,5,54,0.0,54.0,Weak,Watchlist only,49,1.2,-1.1,2.0,56.1,0,,nan,nan,nan
UEFM,Upper Egypt Flour Mills,484.15,8,16,10,5,8,7,4,58,-8.0,54.0,Weak,Watchlist only,47,2.5,2.1,1.2,54.2,0,,nan,nan,nan
AJWA,AJWA for Food Industries company Egypt,179.0,18,7,3,14,7,7,5,61,-6.0,53.0,Weak,Watchlist only,57,4.9,32.6,13.9,77.6,2,,nan,nan,nan
CLHO,Cleopatra Hospital Company,16.4,16,14,4,8,6,7,4,59,-9.0,53.0,Weak,Watchlist only,67,5.9,7.9,6.1,63.4,0,,nan,nan,nan
NINH,Nozha International Hospital,17.82,7,13,4,7,8,2,2,43,2.0,53.0,Weak,Watchlist only,50,2.6,-0.2,-0.4,49.1,1,,nan,nan,nan
