code,name,exchange,currency_symbol
GMCI,GMC GROUP FOR INDUSTRIAL COMMERCIAL & FINANCIAL INVESTMENTS,EGX,EGP
GOCO,Golden Coast Company,EGX,EGP
GOUR,Gourmet Egypt.Com Foods,EGX,EGP
GPIM,GPI For Urban Growth,EGX,EGP
GPPL,Golden Pyramids Plaza,EGX,EGP
GRCA,Grand Investment Capital,EGX,EGP
GSSC,General Silos & Storage,EGX,EGP
GTEX,GTEX For Commercial And Industrial,EGX,EGP
GTHE,Global Telecom Holding,EGX,EGP
GTWL,Golden Textiles & Clothes Wool,EGX,EGP
HDBK,Housing & Development Bank,EGX,EGP
HELI,Heliopolis Housing,EGX,EGP
HRHO,EFG Holding,EGX,EGP
ICAL,Inter-Cairo For Aluminum Industry,EGX,EGP
ICFC,International Company For Fertilizers & Chemicals,EGX,EGP
ICID,International Co For Investment & Development,EGX,EGP
ICLE,International Company For Leasing (IncoLEASE),EGX,EGP
IDHC,Integrated Diagnostics Holdings Plc,EGX,EGP
IDRE,Ismailia Development and Real Estate Co,EGX,EGP
IEEC,Industrial & Engineering Projects,EGX,EGP
IFAP,International Agricultural Products,EGX,EGP
INFI,Ismailia National Food Industries,EGX,EGP
IPPM,International Printing & Packaging Materials Co.,EGX,EGP
IRAX,EL Ezz Aldekhela Steel - Alexandria,EGX,EGP
IRON,Egyptian Iron & Steel,EGX,EGP
ISMA,Ismailia Misr Poultry,EGX,EGP
ISMQ,Iron And Steel for Mines and Quarries,EGX,EGP
ISPH,Ibnsina Pharma,EGX,EGP
JUFO,Juhayna Food Industries,EGX,EGP
KABO,El Nasr Clothes & Textiles (Kabo),EGX,EGP
KASABF,Certificates Of Odin Egyptian Equity Investment Fund-KASAB,EGX,EGP
KRDI,Al Khair River For Development Agricultural Investment&Envir,EGX,EGP
KWIN,El Kahera El Watania Investment,EGX,EGP
KZPC,Kafr El Zayat Pesticides,EGX,EGP
LCSW,Lecico Egypt,EGX,EGP
LUTS,Lotus For Agricultural Investments And Development,EGX,EGP
MAAL,Egyptian Gulf Marseilia For Real Estate Investment,EGX,EGP
MASR,Madinet Masr For Housing and Development,EGX,EGP
MATD,Marsa Marsa Alam For Tourism Development,EGX,EGP
MBEG,M.B Engineering,EGX,EGP
MBSC,Misr Beni Suef Cement,EGX,EGP
MCQE,Misr Cement (Qena),EGX,EGP
MCRO,Macro Group Pharmaceuticals - Macro Capital,EGX,EGP
MEDP,Medical Packaging Company,EGX,EGP
MEGM,Middle East Glass Manufacturing,EGX,EGP
MENA,Mena Touristic & Real Estate Investment,EGX,EGP
MEPA,Medical Packaging Company,EGX,EGP
MFIN,Misr Financial Investments,EGX,EGP
MFPC,Misr Fretilizers Production Company - Mopco,EGX,EGP
MFSC,Misr Duty Free Shops,EGX,EGP
MHOT,Misr Hotels,EGX,EGP
MICH,Misr Chemical Industries,EGX,EGP
MILS,North Cairo Mills,EGX,EGP
MIPH,Minapharm Pharmaceuticals,EGX,EGP
MOED,The Egyptian Modern Education Systems,EGX,EGP
MOIL,Maridive & oil services,EGX,EGP
