code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
EASB,Egyptian Arabian(Themar)Comp. For Securities&Bonds Brok. EAC,8.72,20,11,7,15,6,7,5,71,0.0,76.0,Strong,Enter w/ confidence,54,20.8,6.7,16.1,69.7,0,,nan,nan,nan
MATD,Marsa Marsa Alam For Tourism Development,3.88,18,9,7,18,6,7,5,70,-1.0,74.0,Strong,Enter w/ confidence,65,9.9,9.9,7.4,50.0,1,,nan,nan,nan
TMGH,T M G Holding,99.0,17,16,10,15,7,2,4,71,0.0,74.0,Strong,Enter w/ confidence,56,2.5,0.5,0.9,54.2,0,,nan,nan,nan
ACAP,A Capital Holding,9.41,19,13,8,10,8,7,5,70,-2.0,73.0,Strong,Enter w/ confidence,59,5.7,5.8,4.7,65.8,1,,nan,nan,nan
NCCW,Nasr Company for Civil Works,7.13,19,12,5,14,6,7,5,68,-2.0,71.0,Strong,Enter w/ confidence,73,13.4,22.3,14.0,69.6,2,,nan,nan,nan
ABUK,Abou Kir Fertilizers,94.5,18,8,6,16,6,7,5,66,2.0,69.0,Moderate,Enter w/ caution,65,0.5,23.7,12.6,72.8,2,,nan,nan,nan
RUBX,Rubex International for Plastic and Acrylic Manufacturing,13.23,20,14,6,11,9,7,5,72,-8.0,68.0,Moderate,Enter w/ caution,60,3.5,1.8,3.3,58.3,1,,nan,nan,nan
ETEL,Telecom Egypt,125.99,18,9,6,14,6,11,5,69,-4.0,66.0,Moderate,Enter w/ caution,66,9.6,8.5,8.3,72.8,1,,nan,nan,nan
MIPH,Minapharm Pharmaceuticals,811.45,12,11,8,14,7,11,5,68,-2.0,64.0,Moderate,Enter w/ caution,59,2.8,5.8,2.7,60.2,0,,nan,nan,nan
EFIH,E-finance For Digital and Financial Investments,23.98,11,11,7,9,7,7,4,56,4.0,63.0,Moderate,🔥 COILED: Enter w/ caution,69,4.4,1.4,1.2,54.1,0,,nan,nan,nan
EBSC,Osool ESB Securities Brokerage,2.24,18,14,3,10,6,4,5,60,1.0,62.0,Moderate,Enter w/ caution,63,1.4,4.7,8.4,63.7,0,,nan,nan,nan
EFID,Edita Food Industries S.A.E,32.0,12,12,4,9,8,7,4,56,2.0,62.0,Moderate,Enter w/ caution,64,3.9,0.9,2.5,56.2,1,,nan,nan,nan
MFPC,Misr Fretilizers Production Company - Mopco,47.76,18,6,5,15,7,9,5,65,-1.0,62.0,Moderate,Enter w/ caution,61,2.7,21.2,11.4,78.3,2,,nan,nan,nan
BINV,B Investments Holding,51.5,18,7,2,14,7,7,5,60,1.0,61.0,Moderate,Enter w/ caution,63,2.5,5.7,2.9,61.3,1,,nan,nan,nan
CIRA,Cairo for Investment and Real Estate Development SAE,38.36,20,12,4,8,7,7,3,61,-2.0,59.0,Moderate,Enter w/ caution,54,9.6,8.1,6.0,61.9,2,,nan,nan,nan
KZPC,Kafr El Zayat Pesticides,14.55,16,11,3,9,7,7,5,58,0.0,58.0,Moderate,Enter w/ caution,69,13.7,10.9,14.7,75.0,2,,nan,nan,nan
OIH,Orascom Investment Holding SAE,2.13,19,7,7,15,6,7,5,66,-8.0,58.0,Moderate,Enter w/ caution,67,6.5,9.2,9.7,74.8,1,,nan,nan,nan
ORMT,Orascom Investment Holding,2.13,19,7,7,15,6,7,5,66,-8.0,58.0,Moderate,Enter w/ caution,68,6.5,9.2,9.7,74.8,1,,nan,nan,nan
