code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
ADIB,Abu Dhabi Islamic Bank- Egypt,49.4,16,14,11,17,6,11,5,80,0.0,85.0,Elite,Full conviction,61,6.2,3.5,5.4,61.9,0,,nan,nan,nan
EFIH,E-finance For Digital and Financial Investments,23.1,16,12,6,16,6,11,5,72,8.0,83.0,Strong,Enter w/ confidence,71,5.6,-0.6,5.1,62.2,0,,nan,nan,nan
FWRY,Fawry For Banking Technology And Electronic Payment,19.32,15,16,8,13,5,6,4,67,2.0,74.0,Strong,🔥 COILED: Enter w/ confidence,66,2.4,-0.6,1.5,54.6,0,,nan,nan,nan
BONY,Bonyan for Development and Trade,4.95,13,16,6,8,8,7,5,63,4.0,72.0,Strong,🔥 COILED: Enter w/ confidence,60,3.8,3.3,1.6,53.1,1,,nan,nan,nan
ECAP,El Ezz Porcelain (Gemma),33.74,17,12,10,10,6,8,4,67,1.0,71.0,Strong,Enter w/ confidence,62,3.2,3.0,3.1,62.6,1,,nan,nan,nan
GIHD,Gharbia Islamic Housing Development,57.32,18,10,4,16,6,12,5,71,-3.0,71.0,Strong,Enter w/ confidence,69,17.9,30.2,19.6,73.8,2,,nan,nan,nan
COMI,Commercial International Bank-Egypt (CIB),139.97,16,14,8,15,4,4,5,66,3.0,70.0,Strong,Enter w/ confidence,65,3.7,2.0,4.0,61.4,1,,nan,nan,nan
ORMT,Orascom Investment Holding,1.49,19,10,11,14,5,7,5,71,-2.0,70.0,Strong,Enter w/ confidence,61,4.9,4.9,4.5,69.5,0,,nan,nan,nan
DAPH,Development & Engineering Consultants,92.0,18,10,7,11,8,7,5,66,-2.0,69.0,Moderate,Enter w/ caution,66,11.7,10.7,8.9,69.2,2,,nan,nan,nan
FAIT,Faisal Islamic Bank of Egypt - In EGP,37.65,16,12,6,14,6,7,4,65,0.0,68.0,Moderate,Enter w/ caution,62,1.9,4.1,1.9,59.0,0,,nan,nan,nan
OIH,Orascom Investment Holding SAE,1.46,14,11,11,14,8,7,5,70,-2.0,68.0,Moderate,Enter w/ caution,59,2.8,3.5,2.8,61.4,0,,nan,nan,nan
