code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
ORHD,Orascom Development Egypt,43.2,15,12,11,11,6,6,4,65,2.0,71.0,Strong,Enter w/ confidence,57,0.9,1.7,2.6,59.6,1,,nan,nan,nan
CRST,Creast Mark For Contracting And Real Estate Development,3.42,17,11,7,16,6,4,5,66,3.0,70.0,Strong,Enter w/ confidence,66,8.6,10.0,14.7,68.1,1,,nan,nan,nan
NCCW,Nasr Company for Civil Works,7.6,20,8,5,15,7,8,5,68,-3.0,68.0,Moderate,Enter w/ caution,72,24.8,29.5,19.1,74.9,2,,nan,nan,nan
MIPH,Minapharm Pharmaceuticals,809.76,12,7,8,14,7,11,5,64,2.0,66.0,Moderate,Enter w/ caution,59,2.0,2.4,2.2,59.5,0,,nan,nan,nan
TANM,Tanmiya for Real Estate Investment,6.55,20,16,3,7,6,5,3,60,2.0,65.0,Moderate,Enter w/ caution,62,21.3,18.9,9.3,58.7,2,,nan,nan,nan
TWSA,Tawasoa Factoring,7.51,14,12,4,15,6,4,5,60,2.0,65.0,Moderate,Enter w/ caution,59,0.1,-0.9,5.5,59.1,0,,nan,nan,nan
MPCO,Mansourah Poultry,2.6,19,12,5,13,6,12,5,72,-13.0,64.0,Moderate,Enter w/ caution,67,19.3,16.6,17.1,72.0,2,,nan,nan,nan
TMGH,T M G Holding,99.05,17,12,8,13,7,2,4,63,0.0,64.0,Moderate,Enter w/ caution,56,1.3,1.6,0.9,54.4,0,,nan,nan,nan
CCAP,QALA For Financial Investments,6.21,18,8,7,9,6,9,5,62,1.0,63.0,Moderate,Enter w/ caution,72,3.5,8.0,6.3,68.3,1,,nan,nan,nan
EFIC,Egyptian Financial & Industrial,215.26,18,12,1,15,7,5,5,63,2.0,63.0,Moderate,Enter w/ caution,58,11.0,7.6,4.0,56.3,0,,nan,nan,nan
SAUD,Al Baraka Bank Egypt,23.61,14,11,9,12,6,3,4,59,0.0,62.0,Moderate,🔥 COILED: Enter w/ caution,54,-0.9,2.5,0.6,54.2,0,,nan,nan,nan
EFIH,E-finance For Digital and Financial Investments,23.99,14,13,7,9,7,7,4,61,-3.0,61.0,Moderate,🔥 COILED: Enter w/ caution,69,2.1,-0.0,1.1,54.2,0,,nan,nan,nan
MATD,Marsa Marsa Alam For Tourism Development,3.88,17,5,7,17,7,6,5,64,-3.0,61.0,Moderate,Enter w/ caution,65,4.9,9.9,6.6,50.0,1,,nan,nan,nan
RAKT,Rakta Paper Manufacturing,22.7,13,6,10,15,7,4,4,59,2.0,61.0,Moderate,Enter w/ caution,28,2.3,2.0,1.0,57.0,1,,nan,nan,nan
EASB,Egyptian Arabian(Themar)Comp. For Securities&Bonds Brok. EAC,8.7,20,10,4,12,9,6,5,66,-2.0,60.0,Moderate,Enter w/ caution,52,17.7,13.6,14.1,69.2,2,,nan,nan,nan
EGSA,Egyptian Satellites (NileSat),9.07,18,9,6,9,5,9,5,61,-3.0,59.0,Moderate,Enter w/ caution,54,0.2,4.4,2.1,74.2,0,,nan,nan,nan
KABO,El Nasr Clothes & Textiles (Kabo),9.5,14,13,3,8,7,8,5,58,1.0,59.0,Moderate,Enter w/ caution,64,2.9,4.3,4.5,65.2,1,,nan,nan,nan
MASR,Madinet Masr For Housing and Development,8.3,20,12,3,14,7,3,5,64,-3.0,59.0,Moderate,Enter w/ caution,52,4.0,9.9,3.4,58.2,1,,nan,nan,nan
BINV,B Investments Holding,51.74,18,7,3,15,7,7,5,62,-2.0,58.0,Moderate,Enter w/ caution,64,4.4,5.8,3.0,62.4,1,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,17.9,16,12,3,9,7,7,5,59,1.0,58.0,Moderate,Enter w/ caution,55,9.1,10.0,8.5,67.8,1,,nan,nan,nan
NEDA,Northern Upper Egypt Development & Agricultural Production,2.78,12,10,4,13,2,4,4,49,2.0,56.0,Moderate,🔥 COILED: Enter w/ caution,48,1.5,0.0,0.3,51.2,0,,nan,nan,nan
HELI,Heliopolis Housing,8.0,14,7,7,12,5,4,3,52,0.0,55.0,Moderate,Enter w/ caution,54,-2.0,4.4,0.9,53.7,0,,nan,nan,nan
POUL,Cairo Poultry,39.89,16,14,4,15,6,0,4,59,-8.0,54.0,Weak,Watchlist only,66,-0.9,3.8,2.3,57.8,0,,nan,nan,nan
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,6.28,16,8,4,12,5,7,2,54,0.0,54.0,Weak,Watchlist only,65,4.7,2.3,2.3,56.4,0,,nan,nan,nan
ORAS,Orascom Construction PLC,858.0,15,4,5,14,7,2,5,52,1.0,53.0,Weak,Watchlist only,63,0.9,3.1,4.9,65.0,0,,nan,nan,nan
PHGC,Premium HealthCare Group,0.09,10,7,11,10,3,1,3,45,0.0,53.0,Weak,🔥 COILED: Watchlist only,34,0.0,0.0,0.1,53.1,0,,nan,nan,nan
ABUK,Abou Kir Fertilizers,93.5,18,5,5,14,7,5,5,59,-7.0,52.0,Weak,Watchlist only,63,1.2,23.4,10.2,70.2,2,,nan,nan,nan
EGAS,Natural Gas & Mining Project (Egypt Gas),58.47,10,9,8,7,5,5,3,47,0.0,52.0,Weak,🔥 COILED: Watchlist only,50,-1.2,2.6,0.4,54.0,0,,nan,nan,nan
ETEL,Telecom Egypt,125.25,18,10,5,12,7,9,5,66,-14.0,52.0,Weak,⚠️ EXHAUSTION RISK: Watchlist only,64,8.0,8.0,6.9,70.7,0,,nan,nan,nan
NAPR,National Printing,30.0,11,11,9,9,7,5,3,55,-3.0,52.0,Weak,Watchlist only,46,-1.2,-0.4,-0.2,52.2,0,,nan,nan,nan
UNIP,Universal For Paper and Packaging Materials (Unipack,0.39,15,10,3,7,7,3,2,47,0.0,52.0,Weak,🔥 COILED: Watchlist only,50,2.6,5.4,1.3,53.2,0,,nan,nan,nan
FCMD,Future Care for Medical Industries - FCMI,7.3,9,15,4,7,4,5,5,49,2.0,51.0,Weak,Watchlist only,35,4.0,-5.6,1.9,53.4,0,,nan,nan,nan
SCTS,Sues Canal Company For Technology Settling,621.9,13,13,10,6,8,4,4,58,-8.0,51.0,Weak,Watchlist only,55,1.0,0.2,0.6,55.9,0,,nan,nan,nan
WCDF,Middle & West Delta Flour Mills,692.68,17,8,3,11,7,7,5,58,-5.0,51.0,Weak,Watchlist only,65,2.4,7.9,5.3,68.8,0,,nan,nan,nan
ZMID,Zahraa Maadi Investment & Development,9.8,16,8,3,15,6,6,5,59,-6.0,51.0,Weak,Watchlist only,64,3.2,14.0,11.0,75.2,2,,nan,nan,nan
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,7.2,17,9,2,15,7,2,5,57,-5.0,50.0,Weak,Watchlist only,61,2.6,31.4,11.7,66.1,2,,nan,nan,nan
DTPP,Delta For Printing & Packaging,301.47,13,7,9,8,5,5,2,49,-2.0,50.0,Weak,Watchlist only,61,-0.8,1.5,2.2,62.2,0,,nan,nan,nan
EHDR,Egyptians Housing Development & Reconstruction,2.94,16,14,4,6,7,7,3,57,-10.0,50.0,Weak,🔥 COILED: Watchlist only,49,2.1,3.2,0.6,52.7,0,,nan,nan,nan
EPCO,Egypt for Poultry,11.72,15,12,3,6,8,6,3,53,-8.0,50.0,Weak,Watchlist only,65,5.7,4.7,4.0,59.1,0,,nan,nan,nan
IDRE,Ismailia Development and Real Estate Co,55.4,16,13,3,9,7,2,2,52,0.0,50.0,Weak,Watchlist only,62,1.8,5.3,2.5,56.4,0,,nan,nan,nan
KZPC,Kafr El Zayat Pesticides,14.37,16,9,3,8,5,7,5,53,-3.0,50.0,Weak,Watchlist only,68,11.3,12.3,11.9,72.2,2,,nan,nan,nan
LUTS,Lotus For Agricultural Investments And Development,1.01,10,10,1,10,6,4,4,45,4.0,50.0,Weak,Watchlist only,60,16.1,-36.5,-3.9,49.1,1,,nan,nan,nan
MEGM,Middle East Glass Manufacturing,43.92,13,7,9,7,4,2,3,45,0.0,50.0,Weak,🔥 COILED: Watchlist only,47,0.0,0.0,2.6,59.8,0,,nan,nan,nan
MOIL,Maridive & oil services,0.68,15,5,8,15,7,6,5,61,-11.0,50.0,Weak,Watchlist only,55,0.0,3.0,1.3,58.7,0,,nan,nan,nan
WKOL,Wadi Kom Ombo Land Reclamation,340.14,15,7,4,7,3,4,5,45,0.0,50.0,Weak,🔥 COILED: Watchlist only,57,-0.1,-2.2,0.0,51.8,0,,nan,nan,nan
ALCN,Alexandria Containers and goods,32.47,17,12,3,9,7,4,5,57,-8.0,49.0,Weak,Watchlist only,60,-2.2,7.3,2.7,59.7,0,,nan,nan,nan
CFGH,Concrete Fashion Group For Commercial& Industrial Investment,0.12,15,7,4,10,6,4,5,51,-2.0,49.0,Weak,Watchlist only,45,0.0,9.1,3.8,66.6,1,,nan,nan,nan
GPIM,GPI For Urban Growth,1.64,17,5,5,14,5,4,5,55,-6.0,49.0,Weak,Watchlist only,62,5.1,6.5,9.8,78.3,0,,nan,nan,nan
MFPC,Misr Fretilizers Production Company - Mopco,47.75,18,4,5,15,7,3,5,57,-8.0,49.0,Weak,Watchlist only,61,3.2,21.4,10.2,78.2,2,,nan,nan,nan
OIH,Orascom Investment Holding SAE,2.16,19,5,6,14,6,9,5,64,-13.0,49.0,Weak,Watchlist only,69,5.9,8.0,10.1,76.2,1,,nan,nan,nan
ORMT,Orascom Investment Holding,2.16,19,5,6,14,6,9,5,64,-13.0,49.0,Weak,Watchlist only,68,5.9,8.0,10.1,76.2,1,,nan,nan,nan
SAIB,Societe Arabe Internationale De Banque S.A.E,2.53,17,5,2,14,6,0,5,49,0.0,49.0,Weak,Watchlist only,55,0.0,0.0,4.3,50.0,0,,nan,nan,nan
RUBX,Rubex International for Plastic and Acrylic Manufacturing,12.86,16,5,6,8,5,7,4,51,-2.0,49.0,Weak,Watchlist only,57,1.3,-0.3,0.4,51.6,1,,nan,nan,nan
ACAP,A Capital Holding,9.25,19,8,6,9,7,6,5,60,-12.0,48.0,Weak,Watchlist only,61,3.8,4.0,2.6,58.8,1,,nan,nan,nan
CPME,Catalyst Partners Middle East ,36.57,14,10,3,13,7,4,5,56,-6.0,48.0,Weak,Watchlist only,57,-2.6,-5.4,2.0,57.0,1,,nan,nan,nan
GIHD,Gharbia Islamic Housing Development,78.0,18,8,4,11,6,6,5,58,-11.0,48.0,Weak,Watchlist only,66,8.7,20.2,13.5,73.8,2,,nan,nan,nan
AGIG,Arab Moltaka Investments Co,19.17,15,8,4,11,6,2,5,51,-2.0,47.0,Weak,Watchlist only,54,-3.5,0.9,7.8,66.8,0,,nan,nan,nan
AMIA,Arab Moltaka Investments Co.,19.17,15,8,4,11,6,2,5,51,-2.0,47.0,Weak,Watchlist only,56,-3.5,0.9,7.8,66.8,0,,nan,nan,nan
ATQA,Misr National Steel - Ataqa,13.08,18,4,3,15,7,5,5,57,-10.0,47.0,Weak,Watchlist only,74,7.5,12.8,10.0,76.8,2,,nan,nan,nan
CPCI,Cairo Pharmaceuticals,536.31,12,5,7,7,3,5,3,42,0.0,47.0,Weak,🔥 COILED: Watchlist only,46,-1.4,-1.4,0.5,57.4,0,,nan,nan,nan
EDBM,The Egyptian Company for Construction Development-Lift Slab,0.71,7,6,11,10,3,4,3,44,0.0,47.0,Weak,Watchlist only,35,0.0,0.0,0.0,31.7,0,,nan,nan,nan
GGRN,Gogreen for Agricultural Investment,1.46,12,13,5,12,3,2,5,52,-3.0,47.0,Weak,Watchlist only,30,-2.7,4.3,0.5,51.0,0,,nan,nan,nan
KASABF,Certificates Of Odin Egyptian Equity Investment Fund-KASAB,10.32,15,6,3,14,7,4,5,54,-5.0,47.0,Weak,Watchlist only,63,6.6,6.4,21.6,69.9,0,,nan,nan,nan
OFH,O B Financial Holding,1.07,16,3,3,13,5,7,5,52,-5.0,47.0,Weak,Watchlist only,52,3.9,-2.7,7.1,67.9,0,,nan,nan,nan
MEPA,Medical Packaging Company,2.04,18,6,1,14,5,1,5,50,-4.0,46.0,Weak,Watchlist only,57,8.5,13.3,4.7,58.9,2,,nan,nan,nan
MEDP,Medical Packaging Company,2.04,18,6,1,14,5,1,5,50,-4.0,46.0,Weak,Watchlist only,57,8.5,13.3,4.7,58.9,2,,nan,nan,nan
SNFC,Sharkia National Food,10.9,11,14,4,9,4,3,4,49,-1.0,46.0,Weak,Watchlist only,38,2.6,3.8,0.9,51.3,1,,nan,nan,nan
ARAB,Arab Developers Holding,0.26,15,9,3,10,6,1,5,49,-2.0,45.0,Weak,Watchlist only,57,0.0,0.0,3.0,60.2,0,,nan,nan,nan
EMFD,Emaar Misr for Development,14.9,18,6,4,15,6,7,5,61,-14.0,45.0,Weak,Watchlist only,68,3.6,22.4,11.1,81.9,2,,nan,nan,nan
MBEG,M.B Engineering,7.02,13,8,4,14,7,3,5,54,-9.0,45.0,Weak,Watchlist only,61,4.6,1.0,7.4,66.2,0,,nan,nan,nan
EBSC,Osool ESB Securities Brokerage,2.15,17,3,2,8,7,4,5,46,-2.0,44.0,Weak,Watchlist only,63,0.5,4.4,3.6,56.7,0,,nan,nan,nan
FAIT,Faisal Islamic Bank of Egypt - In EGP,47.96,19,6,5,11,7,9,5,62,-18.0,44.0,Weak,Watchlist only,69,9.3,10.2,8.8,74.1,2,,nan,nan,nan
ICFC,International Company For Fertilizers & Chemicals,23.6,15,4,4,14,7,4,5,53,-9.0,44.0,Weak,Watchlist only,54,-4.1,10.9,9.5,65.4,2,,nan,nan,nan
ISMA,Ismailia Misr Poultry,32.25,7,9,0,12,7,4,2,41,0.0,44.0,Weak,Watchlist only,56,-3.4,-18.2,-4.3,44.9,0,,nan,nan,nan
MAAL,Egyptian Gulf Marseilia For Real Estate Investment,9.04,9,5,1,13,7,4,5,44,0.0,44.0,Weak,Watchlist only,56,-9.1,-4.6,-1.6,49.8,0,,nan,nan,nan
MCRO,Macro Group Pharmaceuticals - Macro Capital,1.68,19,8,4,10,5,2,5,53,-9.0,44.0,Weak,Watchlist only,51,9.8,12.0,6.6,65.5,2,,nan,nan,nan
NAHO,Naeem Holding,0.14,13,6,4,11,7,0,5,46,-2.0,44.0,Weak,Watchlist only,63,0.0,0.0,4.4,62.2,0,,nan,nan,nan
ORWE,Oriental Weavers,28.19,18,11,2,15,7,3,5,61,-15.0,44.0,Weak,Watchlist only,57,5.0,10.1,5.0,63.3,2,,nan,nan,nan
CEFM,Middle Egypt Flour Mills,147.28,15,8,4,9,5,4,5,50,-5.0,43.0,Weak,Watchlist only,57,1.3,2.1,2.6,61.9,0,,nan,nan,nan
AXPH,Alexandria Pharmaceuticals,1678.57,15,4,5,9,7,5,5,50,-6.0,42.0,Weak,Watchlist only,57,-0.7,-0.5,6.2,73.7,0,,nan,nan,nan
QNBA,Qatar National Bank,58.6,15,5,5,7,3,8,3,46,-4.0,42.0,Weak,Watchlist only,55,0.3,0.7,-0.7,49.9,0,,nan,nan,nan
AALR,"General Company For Land Reclamation,Development & Reconstru",306.85,13,13,3,3,7,4,5,48,-10.0,41.0,Weak,🔥 COILED: Watchlist only,61,1.7,0.1,0.7,53.4,0,,nan,nan,nan
EGAL,Egypt Aluminum,377.99,17,8,4,14,6,4,5,58,-15.0,41.0,Weak,Watchlist only,66,1.1,3.6,6.1,68.5,0,,nan,nan,nan
SUGR,Delta Sugar,63.0,18,5,4,15,6,11,5,64,-21.0,41.0,Weak,Watchlist only,72,5.0,10.1,10.1,71.9,2,,nan,nan,nan
AMII,Arabian Metal Industries And Industrial Investments,14.49,9,10,2,12,8,4,5,50,-8.0,40.0,Weak,Watchlist only,49,-4.4,-5.7,-0.5,51.3,0,,nan,nan,nan
CAED,Cairo Educational Services,129.59,10,10,1,7,7,4,4,43,-3.0,40.0,Weak,Watchlist only,51,-7.6,-13.6,-6.0,45.3,0,,nan,nan,nan
ETRS,Egyptian Transport & Commercial Services Co. -EGYTRANS NOSCO,11.25,14,9,5,13,5,4,5,55,-13.0,40.0,Weak,Watchlist only,56,-1.4,3.1,0.8,54.7,0,,nan,nan,nan
MICH,Misr Chemical Industries,50.82,16,7,3,9,7,4,5,51,-12.0,40.0,Weak,Watchlist only,54,0.2,3.7,2.9,60.4,0,,nan,nan,nan
CICH,CI Capital Holding For Financial Investments,12.92,21,6,4,8,5,3,4,51,-12.0,39.0,Poor,Stay away,56,5.5,5.0,2.5,60.7,0,,nan,nan,nan
CIRA,Cairo for Investment and Real Estate Development SAE,37.0,19,5,3,8,3,7,2,47,-8.0,39.0,Poor,Stay away,54,5.7,7.9,2.0,55.0,0,,nan,nan,nan
CIRF,Cairo For Investment And Real Estate Development,37.0,19,5,3,8,3,7,2,47,-8.0,39.0,Poor,Stay away,54,5.7,7.9,2.0,55.0,0,,nan,nan,nan
EGBE,Egyptian Gulf Bank,0.52,8,9,1,7,6,3,3,37,1.0,39.0,Poor,Stay away,54,-1.9,-3.7,-0.9,49.2,0,,nan,nan,nan
GSSC,General Silos & Storage,299.13,17,7,1,9,3,4,5,46,-7.0,39.0,Poor,Stay away,58,-1.3,4.5,2.4,58.8,0,,nan,nan,nan
PHTV,Pyramisa Hotels,354.11,14,11,2,3,8,4,2,44,-8.0,39.0,Poor,Stay away,56,-1.2,2.0,0.7,54.0,0,,nan,nan,nan
UBEE,The United Bank,16.18,17,5,3,11,9,2,5,52,-13.0,39.0,Poor,Stay away,61,11.6,11.4,8.7,79.1,2,,nan,nan,nan
ACGC,Arab Cotton Ginning,15.42,19,3,4,14,7,1,5,53,-13.0,38.0,Poor,Stay away,62,8.7,5.3,9.7,71.3,0,,nan,nan,nan
FWRY,Fawry For Banking Technology And Electronic Payment,19.2,13,7,7,3,5,6,4,45,-10.0,38.0,Poor,Stay away,56,1.1,1.9,0.3,51.6,0,,nan,nan,nan
MBSC,Misr Beni Suef Cement,417.98,15,3,3,15,5,4,5,50,-12.0,38.0,Poor,Stay away,63,-0.0,6.5,7.0,60.8,0,,nan,nan,nan
QNBE,Qatar Natl Bank,58.6,15,5,5,7,3,8,3,46,-8.0,38.0,Poor,Stay away,55,0.3,0.7,-0.7,49.9,0,,nan,nan,nan
SPIN,Alexandria Spinning & Weaving (SPINALEX),18.78,13,4,2,7,5,2,5,38,0.0,38.0,Poor,Stay away,49,-1.8,-2.0,0.7,54.9,0,,nan,nan,nan
VLMRA,Valmore Holding-EGP,32.01,17,4,4,9,3,4,5,46,-8.0,38.0,Poor,Stay away,53,0.1,7.4,2.8,59.9,0,,nan,nan,nan
AIND,Arabia Investments Holding,0.83,18,4,3,14,6,4,5,54,-14.2,37.8,Poor,Stay away,63,2.5,66.0,24.1,82.4,2,,nan,nan,nan
KORA,Korra Energi,6.82,18,3,3,16,7,5,5,57,-19.8,37.2,Poor,Stay away,56,10.9,101.8,40.3,85.0,2,,nan,nan,nan
CIEB,Credit Agricole Egypt,25.48,17,9,4,10,5,2,5,52,-13.0,37.0,Poor,Stay away,54,-0.0,2.0,1.2,57.0,0,,nan,nan,nan
CSAG,Canal Shipping Agencies,40.6,15,4,2,12,3,4,2,42,-10.0,37.0,Poor,🔥 COILED: Stay away,56,-3.3,2.0,-0.2,52.8,0,,nan,nan,nan
LCSW,Lecico Egypt,34.8,12,7,5,9,7,0,4,44,-10.0,37.0,Poor,🔥 COILED: Stay away,57,0.1,2.4,0.4,52.4,0,,nan,nan,nan
AIDC,Arabia for Investment and Development,0.74,15,5,1,5,5,7,5,43,-10.0,36.0,Poor,Stay away,54,-1.3,-1.3,1.2,53.9,0,,nan,nan,nan
CANA,Suez Canal Bank S.A.E,42.99,15,7,9,11,3,0,5,50,-14.0,36.0,Poor,Stay away,58,0.2,2.6,1.7,59.7,0,,nan,nan,nan
HDBK,Housing & Development Bank,109.5,11,4,2,14,0,0,5,36,0.0,36.0,Poor,Stay away,41,-9.5,13.6,4.7,56.6,2,,nan,nan,nan
MPCI,Memphis Pharmaceuticals,421.99,15,7,3,9,5,4,5,48,-12.0,36.0,Poor,Stay away,57,-0.8,4.8,4.1,62.8,0,,nan,nan,nan
RTVC,Remco for Touristic Villages Construction,4.0,11,10,3,11,7,4,5,51,-13.0,36.0,Poor,Stay away,51,-1.0,-3.1,-0.7,49.3,0,,nan,nan,nan
SCEM,Sinai Cement,100.29,15,11,3,6,7,4,5,51,-13.0,36.0,Poor,Stay away,64,1.1,2.3,3.2,58.2,0,,nan,nan,nan
SIPC,Sabaa International Company for Pharmaceutical and Chemical,5.9,18,4,2,9,5,2,5,45,-9.0,36.0,Poor,Stay away,58,12.4,20.4,11.3,63.4,2,,nan,nan,nan
SVCE,South Valley Cement,12.33,17,3,3,16,5,2,5,51,-15.0,36.0,Poor,Stay away,64,-1.8,12.1,6.1,62.5,2,,nan,nan,nan
ZEOT,Extracted Oils,14.0,13,10,8,8,5,2,5,51,-13.0,36.0,Poor,Stay away,54,-2.0,0.3,1.5,56.8,0,,nan,nan,nan
