code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
CIRA,Cairo for Investment and Real Estate Development SAE,35.8,19,8,5,18,6,10,5,71,2.0,76.0,Strong,Enter w/ confidence,70,13.6,14.1,14.8,79.8,2,,nan,nan,nan
ICFC,International Company For Fertilizers & Chemicals,15.64,15,16,8,14,4,4,5,66,2.0,74.0,Strong,Enter w/ confidence,47,0.6,0.6,2.3,58.0,0,,nan,nan,nan
AFDI,El Ahli Investment and Development,52.42,18,7,6,17,6,12,5,71,-1.0,70.0,Strong,Enter w/ confidence,69,8.1,13.0,9.5,71.1,2,,nan,nan,nan
MILS,North Cairo Mills,192.5,18,11,3,17,6,6,5,66,1.0,70.0,Strong,Enter w/ confidence,66,14.4,41.7,22.1,69.1,2,,nan,nan,nan
MPCO,Mansourah Poultry,1.97,17,11,9,12,6,6,5,66,-2.0,69.0,Moderate,Enter w/ caution,59,6.5,3.1,5.4,63.0,0,,nan,nan,nan
CEFM,Middle Egypt Flour Mills,135.35,16,12,2,18,6,4,5,63,-2.0,66.0,Moderate,Enter w/ caution,63,8.2,30.6,15.0,67.4,2,,nan,nan,nan
VLMRA,Valmore Holding-EGP,29.9,15,14,9,12,3,3,5,61,2.0,66.0,Moderate,🔥 COILED: Enter w/ caution,45,0.1,0.3,0.8,52.8,0,,nan,nan,nan
ADIB,Abu Dhabi Islamic Bank- Egypt,52.11,18,8,7,14,7,8,5,67,-2.0,65.0,Moderate,Enter w/ caution,63,5.5,12.0,7.4,69.5,2,,nan,nan,nan
ACAMD,Arab Co. for Asset Management And Development,2.38,15,11,9,14,7,0,5,61,0.0,64.0,Moderate,Enter w/ caution,49,-2.9,2.6,1.0,55.6,0,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,14.49,16,9,5,15,7,5,5,62,2.0,64.0,Moderate,Enter w/ caution,0,1.9,3.5,3.3,59.2,0,,nan,nan,nan
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,5.22,19,10,8,14,5,4,5,65,-2.0,64.0,Moderate,Enter w/ caution,65,4.6,5.2,3.1,61.5,0,,nan,nan,nan
ETRS,Egyptian Transport & Commercial Services Co. -EGYTRANS NOSCO,10.68,13,10,10,12,7,5,3,60,0.0,63.0,Moderate,🔥 COILED: Enter w/ caution,56,-1.6,-2.6,0.1,54.0,0,,nan,nan,nan
SCFM,South Cairo & Giza Mills & Bakeries,294.0,16,13,2,11,8,4,5,59,1.0,63.0,Moderate,Enter w/ caution,64,8.8,16.7,9.4,62.8,2,,nan,nan,nan
CLHO,Cleopatra Hospital Company,16.85,15,17,9,8,7,4,5,65,-1.0,62.0,Moderate,Enter w/ caution,61,1.1,4.0,1.9,58.4,0,,nan,nan,nan
DAPH,Development & Engineering Consultants,97.68,18,4,5,15,6,11,5,64,-3.0,62.0,Moderate,Enter w/ caution,61,6.2,18.6,9.8,73.7,2,,nan,nan,nan
EFIH,E-finance For Digital and Financial Investments,22.99,17,14,5,15,7,4,5,67,-3.0,62.0,Moderate,Enter w/ caution,64,-0.5,5.1,2.7,58.1,0,,nan,nan,nan
EGREF,Egyptians Real Estate Fund Certificates,14.11,16,6,5,14,7,7,5,60,2.0,62.0,Moderate,Enter w/ caution,65,2.4,3.8,2.0,58.9,1,,nan,nan,nan
EXPA,Export Development Bank of Egypt,20.0,18,8,7,15,6,5,5,64,-3.0,61.0,Moderate,Enter w/ caution,69,0.0,6.0,3.3,68.4,0,,nan,nan,nan
AGIG,Arab Moltaka Investments Co,11.5,18,9,6,15,7,5,5,65,-3.0,60.0,Moderate,Enter w/ caution,66,9.5,30.7,15.5,74.1,2,,nan,nan,nan
MTIE,MM Group For Industry And International Trade,9.56,14,14,7,15,8,1,5,64,-8.0,60.0,Moderate,Enter w/ caution,65,1.2,-0.1,1.9,58.8,0,,nan,nan,nan
ODIN,ODIN Investments,2.72,18,8,6,16,6,11,5,70,-11.0,60.0,Moderate,Enter w/ caution,67,7.9,11.5,10.3,73.1,2,,nan,nan,nan
PHAR,Egyptian International Pharmaceuticals (EIPICO),96.5,18,8,5,12,6,7,5,61,-6.0,60.0,Moderate,Enter w/ caution,76,6.4,11.6,7.1,73.2,2,,nan,nan,nan
GSSC,General Silos & Storage,284.0,18,10,4,12,6,4,5,59,-3.0,59.0,Moderate,Enter w/ caution,61,4.4,9.7,7.5,73.3,1,,nan,nan,nan
TALM,Taaleem Management Services,17.99,18,8,6,12,8,10,5,67,-13.0,59.0,Moderate,Enter w/ caution,67,12.9,15.3,12.3,80.5,2,,nan,nan,nan
EAST,Eastern Company,36.76,4,16,9,13,3,1,3,49,4.0,58,Moderate,Enter w/ caution,30,-1.9,1.2,-0.8,45.1,0,,nan,nan,nan
SDTI,Sharm Dreams Co. for Tourism Investment,59.84,18,6,6,18,6,10,5,69,-16.0,58.0,Moderate,Enter w/ caution,62,22.5,27.3,19.2,88.5,2,,nan,nan,nan
UEFM,Upper Egypt Flour Mills,550.01,18,14,5,7,8,0,5,57,-2.0,58.0,Moderate,Enter w/ caution,66,1.8,6.9,5.2,66.5,0,,nan,nan,nan
AMIA,Arab Moltaka Investments Co.,11.5,18,4,7,15,7,9,5,65,-6.0,57.0,Moderate,Enter w/ caution,59,6.1,29.2,17.2,73.1,2,,nan,nan,nan
BTFH,Beltone Holding,3.14,17,14,7,8,5,4,5,60,-1.0,57.0,Moderate,Enter w/ caution,63,1.3,3.0,1.9,57.7,0,,nan,nan,nan
MBSC,Misr Beni Suef Cement,245.63,8,11,10,11,2,5,5,52,2.0,57.0,Moderate,Enter w/ caution,44,-0.0,4.0,0.2,48.6,0,,nan,nan,nan
MPCI,Memphis Pharmaceuticals,294.0,18,6,6,13,7,6,5,61,-2.0,57.0,Moderate,Enter w/ caution,68,9.3,22.2,12.6,78.9,2,,nan,nan,nan
QNBE,Qatar Natl Bank,56.77,19,8,7,9,9,2,5,59,-2.0,57.0,Moderate,Enter w/ caution,65,3.2,3.6,3.2,62.5,0,,nan,nan,nan
SIPC,Sabaa International Company for Pharmaceutical and Chemical,4.03,18,7,5,18,5,2,5,60,-3.0,57.0,Moderate,Enter w/ caution,69,4.9,15.5,7.7,70.9,2,,nan,nan,nan
NCCW,Nasr Company for Civil Works,7.06,18,6,6,16,5,2,5,58,-2.0,56.0,Moderate,Enter w/ caution,75,5.8,9.0,7.0,66.8,1,,nan,nan,nan
SWDY,ELSWEDY ELECTRIC,94.95,18,7,5,15,5,6,5,61,-5.0,56.0,Moderate,Enter w/ caution,64,3.3,7.0,3.6,67.3,0,,nan,nan,nan
ARVA,Arab Valves Company,12.35,19,8,7,12,7,5,5,63,-8.0,55.0,Moderate,⚠️ EXHAUSTION RISK: Enter w/ caution,65,14.1,13.8,10.2,69.2,2,,nan,nan,nan
ISMA,Ismailia Misr Poultry,31.8,19,5,6,14,5,4,5,58,-3.0,55.0,Moderate,Enter w/ caution,61,13.0,16.8,8.9,74.7,2,,nan,nan,nan
EFIC,Egyptian Financial & Industrial,202.4,11,14,3,8,4,4,5,49,0.0,54.0,Weak,Watchlist only,38,8.8,3.5,6.7,64.3,0,,nan,nan,nan
EGBE,Egyptian Gulf Bank,0.48,15,7,4,15,5,3,5,54,0.0,54.0,Weak,Watchlist only,65,0.0,6.7,2.6,62.0,0,,nan,nan,nan
HELI,Heliopolis Housing,8.41,16,7,6,16,6,2,5,58,-4.0,54.0,Weak,Watchlist only,62,1.2,14.4,9.4,76.8,2,,nan,nan,nan
MCRO,Macro Group Pharmaceuticals - Macro Capital,1.53,16,5,5,15,7,6,5,59,-5.0,54.0,Weak,Watchlist only,45,9.3,12.5,10.5,75.9,2,,nan,nan,nan
SAUD,Al Baraka Bank Egypt,22.29,15,10,10,15,3,1,5,59,-3.0,54.0,Weak,Watchlist only,54,1.5,3.3,1.8,57.0,0,,nan,nan,nan
COMI,Commercial International Bank-Egypt (CIB),140.3,17,6,7,15,3,3,5,56,-3.0,53.0,Weak,Watchlist only,68,0.2,3.9,2.6,59.9,0,,nan,nan,nan
CRST,Creast Mark For Contracting And Real Estate Development,1.86,18,6,3,14,5,4,5,55,-2.0,53.0,Weak,Watchlist only,70,7.5,20.0,14.9,69.3,2,,nan,nan,nan
ECAP,El Ezz Porcelain (Gemma),33.63,16,10,9,12,5,3,5,60,-10.0,53.0,Weak,Watchlist only,61,-0.3,2.8,1.6,59.3,0,,nan,nan,nan
ELNA,El Nasr For Manufacturing Agricultural Crops,38.72,7,8,9,13,3,4,5,49,2.0,53,Weak,Watchlist only,51,1.0,-1.9,0.3,51.0,0,,nan,nan,nan
MOIL,Maridive & oil services,0.68,18,7,5,18,6,12,5,71,-20.0,52.0,Weak,Watchlist only,70,17.2,25.9,19.1,88.2,2,,nan,nan,nan
OIH,Orascom Investment Holding SAE,1.48,18,6,7,11,1,3,5,51,1.0,52.0,Weak,Watchlist only,64,1.4,4.2,2.4,61.0,0,,nan,nan,nan
PRDC,Pioneers Properties For Urban Development - (PRE Group),9.46,13,13,3,15,6,4,5,59,-5.0,52.0,Weak,Watchlist only,55,-2.4,6.4,6.6,60.5,0,,nan,nan,nan
SPMD,Speed Medical,0.46,17,5,5,16,5,6,5,59,-7.0,52.0,Weak,Watchlist only,62,2.2,4.5,2.9,60.9,0,,nan,nan,nan
UBEE,The United Bank,13.7,11,10,5,8,3,3,5,45,2.0,52.0,Weak,🔥 COILED: Watchlist only,41,-0.1,1.0,0.5,53.4,0,,nan,nan,nan
ACTF,Act Financial,2.78,11,11,3,12,3,1,5,46,2.0,51.0,Weak,🔥 COILED: Watchlist only,49,-0.4,-0.4,0.6,52.5,0,,nan,nan,nan
AFMC,Alexandria Flour Mills,153.99,18,6,4,18,6,9,5,66,-18,51,Weak,Watchlist only,74,52.5,108.8,57.2,85.7,2,10,nan,nan,nan
ALRA,Atlas For Investment and Food Industries,2.17,11,5,6,15,5,4,5,51,0.0,51.0,Weak,Watchlist only,54,1.9,2.4,2.1,57.9,0,,nan,nan,nan
ARCC,Arabian Cement Company,56.66,13,8,9,7,3,3,5,48,0.0,51.0,Weak,Watchlist only,57,-0.7,3.7,0.9,54.0,0,,nan,nan,nan
BIOC,Glaxo Smith Kline,199.8,18,8,4,18,6,9,5,68,-20,51,Weak,Watchlist only,73,80.5,172.2,75.7,87.9,2,10,nan,nan,nan
BINV,B Investments Holding,47.5,14,12,6,7,7,5,5,56,-6.0,51.0,Weak,Watchlist only,54,-0.1,-1.7,-0.6,49.9,0,,nan,nan,nan
DGTZ,Digitize for Investment And Technology,2.71,15,6,5,15,3,2,5,51,0.0,51.0,Weak,Watchlist only,38,5.9,3.0,2.5,56.8,0,,nan,nan,nan
GPIM,GPI For Urban Growth,1.21,18,11,6,13,6,7,5,66,-15.0,51.0,Weak,Watchlist only,0,8.0,7.1,7.0,67.5,0,,nan,nan,nan
TAQA,Taqa Arabia,14.9,7,16,10,9,8,7,4,61,-9.0,51,Weak,Watchlist only,61,2.5,0.1,1.9,58.0,0,,nan,nan,nan
AMOC,Alexandria Mineral Oils Company,8.33,14,12,6,10,4,2,5,53,-1.0,50.0,Weak,Watchlist only,42,1.1,-0.2,2.0,57.3,0,,nan,nan,nan
ATQA,Misr National Steel - Ataqa,10.05,18,8,9,11,5,2,5,58,-4.0,50.0,Weak,Watchlist only,63,4.1,5.8,3.3,63.4,0,,nan,nan,nan
EEII,El Arabia Engineering Industries,2.69,13,10,3,10,3,4,5,48,2.0,50.0,Weak,Watchlist only,58,-2.5,-1.5,-0.1,53.0,0,,nan,nan,nan
