code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
CIRA,Cairo for Investment and Real Estate Development SAE,36.86,19,8,4,18,6,11,5,71,4.0,75.0,Strong,Enter w/ confidence,70,15.7,15.2,13.6,75.4,2,,nan,nan,nan
AMOC,Alexandria Mineral Oils Company,8.91,19,10,7,18,4,7,5,70,-1.0,74.0,Strong,Enter w/ confidence,55,6.5,8.9,8.2,70.4,1,,nan,nan,nan
ADIB,Abu Dhabi Islamic Bank- Egypt,52.85,18,8,8,17,6,11,5,73,-1.0,72.0,Strong,Enter w/ confidence,66,7.2,13.7,8.0,71.5,2,,nan,nan,nan
EXPA,Export Development Bank of Egypt,20.0,18,8,7,16,7,5,5,66,-2.0,64.0,Moderate,Enter w/ caution,70,0.1,2.8,3.0,68.4,0,,nan,nan,nan
MILS,North Cairo Mills,190.3,18,9,2,16,7,6,5,63,1.0,64.0,Moderate,Enter w/ caution,62,10.6,39.4,18.3,67.7,2,,nan,nan,nan
ETRS,Egyptian Transport & Commercial Services Co. -EGYTRANS NOSCO,10.68,13,10,10,12,7,5,3,60,0.0,63.0,Moderate,🔥 COILED: Enter w/ caution,56,-1.6,-2.6,0.1,54.0,0,,nan,nan,nan
AMIA,Arab Moltaka Investments Co.,11.25,18,8,4,16,5,8,5,64,-2.0,62.0,Moderate,Enter w/ caution,66,7.1,25.7,13.1,69.0,2,,nan,nan,nan
EGREF,Egyptians Real Estate Fund Certificates,14.11,16,6,5,15,7,6,5,60,2.0,62.0,Moderate,Enter w/ caution,65,2.4,3.1,1.8,58.9,1,,nan,nan,nan
ICFC,International Company For Fertilizers & Chemicals,15.5,16,8,8,12,3,3,5,55,2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,42,0.3,0.5,1.2,54.6,0,,nan,nan,nan
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,5.28,19,10,8,18,7,3,5,70,-8.0,62.0,Moderate,Enter w/ caution,67,6.0,6.7,3.9,64.3,0,,nan,nan,nan
ABUK,Abou Kir Fertilizers,73.0,8,16,9,9,3,4,5,54,4.0,61.0,Moderate,Enter w/ caution,35,1.0,1.4,1.4,51.9,0,,nan,nan,nan
CEFM,Middle Egypt Flour Mills,135.08,16,8,2,15,9,7,5,62,-2.0,60.0,Moderate,Enter w/ caution,63,7.1,24.9,13.2,67.1,2,,nan,nan,nan
AGIG,Arab Moltaka Investments Co,11.25,18,6,4,14,5,8,5,60,-2.0,58.0,Moderate,Enter w/ caution,65,4.2,25.0,11.6,69.4,2,,nan,nan,nan
EALR,El Arabia for Land Reclamation,391.98,19,13,4,11,8,5,5,65,-12.0,58.0,Moderate,Enter w/ caution,68,8.8,6.8,6.8,65.0,0,,nan,nan,nan
GOUR,Gourmet Egypt.Com Foods,14.2,15,5,6,13,7,5,5,56,2.0,58.0,Moderate,Enter w/ caution,0,0.4,-2.0,1.1,54.5,0,,nan,nan,nan
