code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
ECAP,El Ezz Porcelain (Gemma),31.05,17,9,8,16,7,11,5,73,1.0,74.0,Strong,Enter w/ confidence,62,2.3,7.1,3.9,66.2,1,,nan,nan,nan
SIPC,Sabaa International Company for Pharmaceutical and Chemical,3.67,18,14,9,9,7,7,5,69,-2.0,71.0,Strong,Enter w/ confidence,58,4.3,3.4,2.5,60.4,1,,nan,nan,nan
GDWA,Gadwa For Industrial Development,0.82,16,12,8,8,7,11,3,65,1.0,70.0,Strong,Enter w/ confidence,37,5.1,2.5,3.1,63.1,1,,nan,nan,nan
NEDA,Northern Upper Egypt Development & Agricultural Production,2.83,14,11,7,10,9,8,3,62,4.0,70.0,Strong,Enter w/ confidence,56,3.7,2.9,2.5,58.5,1,,nan,nan,nan
MPRC,Egyptian Media Production City,34.0,19,10,6,17,6,8,5,71,-4.0,68.0,Moderate,Enter w/ caution,68,9.3,9.6,6.5,67.9,1,,nan,nan,nan
UEGC,Elsaeed Contracting& Real Estate Investment Company SCCD,1.49,18,9,8,12,9,7,5,68,-3.0,68.0,Moderate,Enter w/ caution,58,12.9,10.4,8.5,74.0,2,,nan,nan,nan
ALRA,Atlas For Investment and Food Industries,1.86,12,12,6,16,7,7,5,65,2.0,67.0,Moderate,Enter w/ caution,45,5.7,6.9,4.0,59.0,0,,nan,nan,nan
CCAP,QALA For Financial Investments,5.7,19,9,6,16,6,12,5,73,-7.0,66.0,Moderate,Enter w/ caution,67,11.3,8.0,11.2,69.4,0,,nan,nan,nan
ROTO,Rowad Tourism (Al Rowad),34.13,17,11,8,9,7,5,3,60,2.0,66.0,Moderate,Enter w/ caution,55,4.2,3.4,2.2,57.8,1,,nan,nan,nan
AIND,Arabia Investments Holding,0.37,18,9,11,16,7,9,5,75,-12.0,63.0,Moderate,Enter w/ caution,58,8.8,8.8,5.8,69.3,1,,nan,nan,nan
GPIM,GPI For Urban Growth,0.93,19,14,4,12,7,4,5,65,-2.0,63.0,Moderate,Enter w/ caution,0,8.1,8.1,5.5,64.4,1,,nan,nan,nan
ENGC,Engineering Industries (ICON),33.82,14,12,7,8,9,4,3,57,2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,62,3.1,2.5,0.8,53.4,1,,nan,nan,nan
CANA,Suez Canal Bank S.A.E,37.0,12,10,4,16,3,5,5,55,2.0,60.0,Moderate,Enter w/ caution,39,4.2,7.2,3.8,54.8,0,,nan,nan,nan
NIPH,El-Nile Co. For Pharmaceuticals And Chemical Industries,172.0,17,11,5,10,6,4,5,58,1.0,60.0,Moderate,Enter w/ caution,64,5.5,7.5,9.4,68.8,1,,nan,nan,nan
EMFD,Emaar Misr for Development,12.3,19,9,3,17,7,9,5,69,-13.0,59.0,Moderate,Enter w/ caution,68,17.1,18.2,11.2,72.5,2,,nan,nan,nan
MEPA,Medical Packaging Company,1.75,13,14,9,8,6,7,5,62,-6.0,59.0,Moderate,Enter w/ caution,57,4.2,-1.7,3.1,60.0,0,,nan,nan,nan
MICH,Misr Chemical Industries,36.95,15,12,3,9,7,8,5,59,0.0,59.0,Moderate,Enter w/ caution,65,4.2,2.2,2.8,60.1,0,,nan,nan,nan
UNIP,Universal For Paper and Packaging Materials (Unipack,0.33,17,8,8,18,6,10,5,72,-16.0,59.0,Moderate,Enter w/ caution,59,13.8,10.0,12.0,80.4,2,,nan,nan,nan
AREH,Egyptian Real Estate Group,1.47,19,10,10,8,6,10,5,68,-13.0,58.0,Moderate,Enter w/ caution,59,11.4,11.4,9.4,71.3,2,,nan,nan,nan
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,5.0,11,12,3,8,8,8,5,55,2.0,58.0,Moderate,Enter w/ caution,56,3.5,3.5,1.6,54.8,1,,nan,nan,nan
ADIB,Abu Dhabi Islamic Bank- Egypt,46.8,13,6,8,12,5,5,3,52,0.0,57.0,Moderate,🔥 COILED: Enter w/ caution,57,-1.7,-0.1,-0.1,51.8,0,,nan,nan,nan
KRDI,Al Khair River For Development Agricultural Investment&Envir,0.36,9,13,11,11,3,3,3,53,-1.0,57.0,Moderate,Enter w/ caution,21,5.9,5.9,1.1,43.0,1,,nan,nan,nan
BIOC,Glaxo Smith Kline,74.36,17,11,4,8,7,8,5,60,-2.0,56.0,Moderate,Enter w/ caution,64,3.1,4.0,2.9,60.8,0,,nan,nan,nan
CSAG,Canal Shipping Agencies,31.81,16,7,9,13,3,11,5,64,-8.0,56.0,Moderate,Enter w/ caution,59,1.6,2.4,1.6,58.3,1,,nan,nan,nan
EGREF,Egyptians Real Estate Fund Certificates,13.91,18,4,4,16,5,4,5,56,0.0,56.0,Moderate,Enter w/ caution,61,5.7,6.3,4.2,75.6,0,,nan,nan,nan
ETRS,Egyptian Transport (EGYTRANS),9.2,19,4,5,16,7,6,5,62,-6.0,56.0,Moderate,Enter w/ caution,66,16.0,17.5,11.9,75.9,2,,nan,nan,nan
